,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN10019_c0_g1,36,52,27,19,21,46,31,33,34,25,43,39,46,42,25,22,33,40,24,84,73,28,12,35,56,44
TRINITY_DN10020_c0_g1,6,8,7,1,9,9,7,14,4,4,2,5,10,14,2,2,6,1,5,1,2,1,5,9,13,5
TRINITY_DN10021_c0_g1,1,0,0,1,5,0,3,6,0,0,0,2,12,2,2,2,3,1,0,1,2,4,1,1,1,0
TRINITY_DN10022_c0_g1,4,3,3,7,8,1,3,6,0,2,1,2,3,10,3,1,9,0,0,2,1,0,2,1,1,2
TRINITY_DN10023_c0_g1,6,4,2,0,5,2,5,6,1,2,3,2,6,3,2,3,7,1,0,0,6,2,3,4,4,7
TRINITY_DN10024_c0_g1,0,13,0,6,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
TRINITY_DN10025_c0_g1,9,8,7,1,2,2,1,6,8,5,1,13,7,16,6,7,10,2,10,12,12,5,20,1,5,9
TRINITY_DN10026_c0_g1,6,10,2,3,9,23,23,7,29,5,13,4,13,7,4,7,32,12,3,15,10,2,4,24,27,22
TRINITY_DN10027_c0_g1,2,3,3,0,2,0,2,0,4,0,0,0,1,0,0,0,0,0,0,4,2,0,2,2,1,1
TRINITY_DN10028_c0_g1,6,10,1,3,5,8,7,3,6,4,5,5,3,4,1,1,1,2,1,7,12,2,1,6,4,1
TRINITY_DN10029_c0_g1,6,11,6,3,4,12,9,6,4,4,8,3,5,3,1,3,8,3,3,9,4,3,2,8,4,7
TRINITY_DN10030_c0_g1,17,16,15,11,14,14,15,17,18,13,15,19,27,24,9,14,14,4,8,16,12,8,7,3,8,9
TRINITY_DN10031_c0_g1,11,8,3,2,1,2,4,4,4,4,3,3,1,5,2,1,6,9,8,3,4,2,1,3,5,5
TRINITY_DN10032_c0_g1,5,0,0,0,7,0,0,7,1,4,2,5,0,6,4,5,0,0,7,0,3,3,0,0,0,0
TRINITY_DN10033_c0_g1,16,9,4,3,2,7,6,12,12,3,12,11,11,15,4,8,20,12,3,23,17,9,3,13,13,16
TRINITY_DN10034_c0_g1,0,10,0,255,41,40,0,95,0,0,0,0,0,0,0,2,11,7,9,21,0,0,0,0,0,0
TRINITY_DN10035_c0_g1,0,1,0,32,12,2,0,4,0,0,0,0,0,0,0,1,1,3,2,3,0,0,0,0,0,0
TRINITY_DN10036_c0_g1,0,5,0,40,3,6,0,4,0,0,0,0,0,0,0,1,4,1,5,10,0,0,2,0,0,0
TRINITY_DN10037_c0_g1,4,3,1,0,6,4,9,5,11,3,5,8,1,12,2,5,2,2,3,5,3,0,4,6,6,5
TRINITY_DN10038_c0_g1,0,0,0,0,4,3,3,3,0,10,0,17,5,4,6,12,1,0,4,2,1,3,0,1,2,6
TRINITY_DN10039_c0_g1,1,2,0,0,0,1,1,1,1,0,0,1,0,4,2,1,3,2,1,2,3,0,0,0,1,1
TRINITY_DN10040_c0_g1,4,7,5,0,4,4,10,3,1,1,2,4,4,5,4,0,5,1,2,5,3,3,3,6,4,3
TRINITY_DN10041_c0_g1,7,1,4,4,5,4,2,5,3,2,3,4,4,13,6,10,5,3,7,5,3,1,2,2,6,5
TRINITY_DN10042_c0_g1,1,9,7,2,2,3,8,4,5,4,17,7,16,20,8,4,5,3,10,20,14,6,1,1,5,7
TRINITY_DN10043_c0_g1,9,2,4,5,6,3,4,5,1,2,1,6,3,8,2,2,6,0,0,0,0,0,1,2,0,0
TRINITY_DN10044_c1_g1,3,15,5,2,7,20,14,7,11,3,5,7,3,4,4,2,14,17,8,6,6,14,0,1,4,1
TRINITY_DN10045_c0_g1,1,5,1,1,5,4,2,2,4,2,0,1,2,3,1,0,3,2,5,3,5,1,1,5,4,6
TRINITY_DN10046_c0_g1,2,0,0,0,1,0,0,1,0,0,0,0,2,4,0,1,1,0,1,0,1,0,0,1,1,0
TRINITY_DN10047_c0_g1,1,3,0,1,0,2,5,1,1,0,4,0,1,1,0,0,0,2,1,1,0,2,0,2,10,4
TRINITY_DN10048_c0_g1,4,0,2,0,0,2,2,2,0,4,2,7,1,6,1,1,0,1,2,6,4,4,2,0,3,4
TRINITY_DN10049_c0_g1,1,9,1,6,3,9,12,5,8,3,3,8,7,6,1,7,8,5,9,18,11,5,2,7,7,9
TRINITY_DN10050_c0_g1,9,12,4,1,7,10,9,7,11,2,9,2,6,2,2,6,8,7,2,5,8,5,2,11,19,9
TRINITY_DN10051_c0_g1,1,0,0,0,5,5,10,7,0,0,1,0,0,9,0,0,0,0,0,0,1,1,5,7,8,6
TRINITY_DN10052_c0_g1,1,4,1,1,0,4,1,1,6,0,1,0,1,13,0,0,4,1,3,4,2,0,2,12,9,7
TRINITY_DN10053_c0_g1,10,14,13,6,6,8,14,11,13,4,10,9,10,8,3,4,12,2,9,12,14,5,4,3,11,9
TRINITY_DN10054_c0_g1,2,3,2,4,5,0,0,3,2,2,2,1,0,2,5,1,0,1,0,0,2,3,0,1,1,3
TRINITY_DN10055_c0_g1,0,0,2,1,1,0,0,4,1,3,0,3,5,5,1,2,1,0,3,1,5,2,1,0,0,0
TRINITY_DN10056_c0_g1,9,23,0,3,1,11,5,3,39,1,9,0,2,3,1,1,19,5,3,6,4,1,0,40,50,41
TRINITY_DN10057_c0_g1,0,5,0,0,1,2,11,2,1,3,1,2,0,1,1,0,4,1,1,1,1,0,0,1,2,1
TRINITY_DN10058_c0_g1,4,16,3,8,6,12,8,9,15,1,7,8,3,15,3,4,20,7,5,17,18,2,3,5,10,3
TRINITY_DN10059_c0_g1,5,4,7,3,2,1,4,10,1,5,3,8,3,10,2,9,1,2,5,7,2,6,3,9,4,8
TRINITY_DN1005_c0_g1,30,35,30,13,16,17,18,8,28,28,10,26,13,9,15,20,34,16,20,92,90,7,13,29,42,37
TRINITY_DN10060_c0_g1,3,0,2,0,1,0,0,5,0,0,0,2,3,1,0,2,0,1,6,0,0,3,0,0,0,0
TRINITY_DN10061_c0_g1,0,0,1,0,2,0,1,7,1,1,0,1,5,5,4,1,1,1,1,18,11,3,1,1,3,1
TRINITY_DN10062_c0_g1,1,2,1,0,2,0,0,1,0,1,0,1,1,2,0,1,4,0,5,3,5,1,2,2,2,0
TRINITY_DN10063_c0_g1,5,1,1,2,4,1,1,5,0,0,3,1,10,4,2,1,1,1,7,0,6,3,1,0,3,0
TRINITY_DN10064_c0_g1,2,5,2,2,1,2,2,1,3,0,1,0,0,2,2,0,5,1,0,2,1,0,0,1,2,4
TRINITY_DN10065_c0_g1,4,0,9,2,4,0,0,0,0,2,0,14,2,6,3,5,1,0,2,0,0,2,1,2,3,2
TRINITY_DN10066_c0_g1,3,4,0,2,6,8,4,6,4,0,3,3,0,2,2,1,1,0,3,19,15,1,2,2,4,7
TRINITY_DN10067_c0_g1,2,2,4,2,4,3,1,2,3,2,0,3,2,7,0,2,2,2,2,3,3,0,1,2,4,0
TRINITY_DN10068_c0_g1,7,24,6,0,8,19,21,4,11,1,15,6,4,9,2,3,16,6,5,5,18,4,1,6,13,13
TRINITY_DN10069_c0_g1,6,14,3,3,4,4,1,2,1,1,9,3,5,4,1,2,0,5,5,6,11,0,1,2,4,4
TRINITY_DN1006_c0_g1,4,11,2,7,9,3,7,8,6,3,3,2,9,4,0,5,10,2,1,13,17,2,0,4,10,3
TRINITY_DN10070_c0_g1,0,0,2,0,6,0,2,5,4,4,2,8,0,0,1,2,1,2,5,4,3,9,4,2,1,1
TRINITY_DN10071_c0_g1,4,7,1,3,0,3,0,3,4,1,3,3,2,1,0,1,5,1,3,1,7,3,3,0,3,1
TRINITY_DN10072_c0_g1,0,35,0,82,13,8,0,12,0,0,0,0,0,0,0,1,9,4,11,15,0,0,0,0,0,0
TRINITY_DN10073_c0_g1,10,4,9,9,9,3,3,10,3,8,4,10,14,12,6,5,9,4,4,4,3,5,6,4,6,5
TRINITY_DN10074_c0_g1,0,0,0,0,2,1,0,8,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,2,9,9
TRINITY_DN10075_c0_g1,0,7,5,0,0,0,1,0,1,3,2,0,0,1,0,2,0,3,9,3,2,3,3,0,1,2
TRINITY_DN10076_c0_g1,1,6,2,0,3,1,0,7,5,2,1,1,2,4,1,4,4,1,2,6,3,2,4,6,8,4
TRINITY_DN10077_c0_g1,0,4,1,1,3,5,3,3,3,3,0,1,1,4,1,1,10,0,0,6,5,4,1,1,6,3
TRINITY_DN10078_c0_g1,0,30,0,58,8,36,0,24,0,0,0,0,0,0,0,0,5,11,8,27,0,0,1,0,0,0
TRINITY_DN10079_c0_g1,4,22,5,0,4,8,9,1,10,2,6,2,5,5,3,0,8,5,3,5,12,3,1,2,5,5
TRINITY_DN10080_c0_g1,13,10,11,4,13,3,5,13,7,7,8,17,14,9,6,8,10,3,44,18,27,7,5,7,5,3
TRINITY_DN10081_c0_g1,1,11,6,11,0,0,0,0,0,0,0,0,0,4,9,9,21,10,8,0,9,0,0,0,0,0
TRINITY_DN10082_c0_g1,19,8,4,2,17,4,7,11,6,12,9,6,15,33,13,7,14,8,6,9,7,5,4,12,10,6
TRINITY_DN10083_c0_g1,5,1,5,5,16,0,2,10,2,9,0,15,3,10,15,20,3,3,7,0,0,7,5,0,0,0
TRINITY_DN10084_c0_g1,3,12,0,2,1,20,23,4,5,0,5,2,2,5,0,0,0,0,8,13,13,2,2,3,10,6
TRINITY_DN10085_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,11,3
TRINITY_DN10086_c0_g1,1,1,1,0,0,1,1,1,1,1,0,0,0,2,0,1,1,0,0,1,1,1,3,0,0,0
TRINITY_DN10087_c0_g1,5,0,0,0,0,0,0,0,0,4,8,3,4,5,0,0,0,0,0,1,0,0,6,6,11,1
TRINITY_DN10088_c0_g1,0,1,2,4,0,0,0,0,1,3,0,4,0,16,1,0,1,1,2,1,1,12,0,0,0,0
TRINITY_DN10089_c0_g1,12,66,14,7,15,62,49,18,51,10,48,12,22,20,7,15,45,38,18,63,49,7,18,29,47,56
TRINITY_DN10090_c0_g1,19,37,19,22,24,23,10,23,24,17,17,23,26,13,13,12,27,8,17,25,23,19,9,15,38,33
TRINITY_DN10091_c0_g1,3,6,3,2,0,0,1,2,1,2,1,0,2,1,3,2,4,6,2,0,0,3,0,1,0,3
TRINITY_DN10092_c0_g1,16,12,8,5,14,6,14,20,9,5,4,9,10,5,2,4,9,3,9,15,12,7,2,3,8,6
TRINITY_DN10093_c0_g1,37,8,42,27,166,6,36,65,0,130,8,230,37,25,79,64,41,42,36,20,34,35,33,4,7,12
TRINITY_DN10094_c0_g1,21,2,5,9,14,1,1,8,1,7,4,12,6,9,4,3,5,0,1,3,2,9,3,1,3,1
TRINITY_DN10095_c0_g1,303,39,32,19,44,53,99,228,30,26,26,42,37,34,0,0,0,0,27,19,20,36,9,5,39,17
TRINITY_DN10096_c0_g1,14,41,9,5,13,35,49,9,29,2,10,5,18,21,6,6,30,32,3,8,14,7,12,34,47,43
TRINITY_DN10098_c0_g1,5,8,3,2,4,5,7,2,2,1,0,3,3,2,3,2,2,1,3,6,0,5,2,0,2,3
TRINITY_DN10099_c0_g1,2,35,3,0,1,19,37,2,13,1,19,3,2,5,1,2,23,11,1,21,12,2,2,8,12,11
TRINITY_DN1009_c0_g1,3,13,7,4,3,5,5,7,3,1,1,6,1,4,0,0,2,1,8,5,8,4,4,4,5,3
TRINITY_DN100_c0_g1,46,120,31,34,43,79,105,33,58,22,81,38,55,51,26,30,115,49,24,83,85,17,21,47,103,56
TRINITY_DN10100_c0_g1,3,7,2,4,8,17,22,10,0,0,2,0,0,1,8,3,11,8,1,1,7,0,1,2,7,0
TRINITY_DN10101_c0_g1,2,11,2,1,2,2,10,3,3,1,3,0,3,0,0,1,3,0,1,6,8,4,3,9,11,7
TRINITY_DN10102_c0_g1,9,14,9,7,4,8,10,8,10,4,8,12,6,26,5,8,15,15,9,4,12,7,3,14,18,9
TRINITY_DN10103_c0_g1,1,0,1,0,1,0,0,2,0,7,3,7,6,8,7,0,3,1,1,1,0,2,4,0,0,3
TRINITY_DN10104_c0_g1,1,15,4,4,2,21,19,5,14,1,7,2,4,4,1,1,3,4,3,11,11,1,2,9,8,6
TRINITY_DN10105_c0_g1,73,40,50,21,23,19,30,23,19,16,4,25,54,58,16,8,7,3,14,1,1,20,19,9,28,16
TRINITY_DN10106_c0_g1,2,0,4,0,0,0,0,1,0,0,0,1,0,15,1,0,2,0,2,0,4,1,1,1,1,0
TRINITY_DN10107_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,29,11
TRINITY_DN10108_c0_g1,2,5,5,2,7,3,2,7,2,4,4,1,6,3,0,0,3,0,5,11,6,8,2,3,2,5
TRINITY_DN10109_c0_g1,3,4,1,0,2,4,7,1,7,0,1,1,3,2,2,4,7,6,2,11,3,1,0,10,1,6
TRINITY_DN1010_c0_g1,27,35,13,22,10,2,0,13,7,15,18,32,8,19,24,22,14,5,19,17,20,7,7,3,15,13
TRINITY_DN10110_c0_g1,1,5,0,0,1,3,1,0,2,0,3,1,0,0,0,1,2,0,0,5,5,1,1,5,5,3
TRINITY_DN10111_c0_g1,1,4,2,0,4,1,2,1,1,1,0,1,1,3,2,0,0,0,0,2,0,1,0,1,0,0
TRINITY_DN10112_c0_g1,2,2,2,1,0,3,3,1,5,1,4,0,2,2,0,3,5,2,2,7,6,0,0,3,3,5
TRINITY_DN10113_c0_g1,8,1,3,1,4,1,1,2,4,0,0,0,11,11,6,8,6,7,14,6,4,0,5,4,4,5
TRINITY_DN10114_c0_g1,7,5,4,2,0,6,5,3,3,3,1,1,6,0,0,0,11,3,2,4,0,2,1,0,1,4
TRINITY_DN10115_c0_g1,2,3,4,2,1,0,3,5,1,1,1,1,5,2,0,2,1,0,7,0,1,2,3,1,4,3
TRINITY_DN10116_c0_g1,2,9,3,2,0,3,2,9,8,1,8,0,1,5,4,3,2,3,0,4,2,0,4,2,4,3
TRINITY_DN10117_c0_g1,2,4,1,1,0,0,1,2,3,1,2,1,0,3,0,1,4,2,0,3,4,1,0,1,10,6
TRINITY_DN10118_c0_g1,22,23,17,10,28,18,35,16,39,19,25,30,15,25,12,8,22,12,35,44,30,23,20,38,48,31
TRINITY_DN10119_c0_g1,6,10,3,3,3,10,14,2,15,0,4,1,3,3,0,1,13,4,3,4,4,3,4,5,9,6
TRINITY_DN10121_c0_g1,31,44,12,16,11,19,23,25,23,13,20,24,26,28,8,10,45,18,19,34,30,5,13,21,59,43
TRINITY_DN10122_c0_g1,10,18,3,9,9,3,4,8,4,1,2,8,10,5,1,2,6,4,6,3,6,7,11,4,9,3
TRINITY_DN10123_c0_g1,5,3,6,0,3,2,0,6,3,4,1,11,7,5,2,1,0,0,6,6,1,2,3,1,2,1
TRINITY_DN10124_c0_g1,5,2,2,2,5,3,2,6,0,1,0,2,0,3,0,3,2,0,1,2,1,0,2,0,5,1
TRINITY_DN10125_c0_g1,20,1,7,5,9,2,2,7,11,4,0,3,13,3,13,14,8,12,21,21,28,4,4,9,11,10
TRINITY_DN10126_c0_g1,18,12,7,23,10,2,4,9,9,14,4,7,0,13,3,4,5,4,7,13,12,1,1,5,5,15
TRINITY_DN10127_c0_g1,0,2,0,0,5,1,1,6,0,11,3,17,0,10,1,1,1,0,14,0,5,0,9,4,5,19
TRINITY_DN10128_c0_g1,3,7,2,4,3,2,2,0,1,1,1,2,1,3,2,3,3,1,1,1,3,0,2,3,3,2
TRINITY_DN10129_c0_g1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,3,0,0,2,2,1
TRINITY_DN10130_c0_g1,0,0,2,3,0,0,0,0,0,0,0,2,1,7,0,1,0,0,0,2,2,3,0,1,1,1
TRINITY_DN10131_c0_g1,2,7,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,3,5,1,0,0,0,0
TRINITY_DN10132_c0_g1,14,1,6,6,13,2,6,6,3,2,3,4,4,0,0,5,4,1,2,3,4,3,2,1,11,7
TRINITY_DN10133_c0_g1,2,3,1,0,0,3,3,0,5,1,4,2,3,2,0,0,2,2,1,4,3,1,0,2,3,4
TRINITY_DN10134_c0_g1,3,2,5,6,3,2,2,4,4,1,2,5,7,3,3,4,2,4,4,3,9,1,0,1,1,2
TRINITY_DN10135_c0_g1,61,203,100,70,79,151,133,141,57,48,57,58,13,55,28,28,87,50,52,102,109,50,76,115,170,148
TRINITY_DN10136_c0_g1,8,1,8,5,12,1,0,7,0,11,0,10,13,17,5,5,2,2,2,0,0,6,4,1,0,1
TRINITY_DN10137_c0_g1,5,1,6,1,5,0,1,6,0,5,0,7,9,6,3,5,0,0,3,0,0,6,2,1,1,1
TRINITY_DN10138_c0_g1,10,4,3,0,4,5,4,3,4,4,2,9,2,6,9,10,7,4,11,9,3,13,2,4,7,3
TRINITY_DN10139_c0_g1,2,6,4,0,0,5,1,2,4,0,0,0,1,4,0,1,0,1,2,4,6,0,2,1,5,6
TRINITY_DN10140_c0_g1,11,3,1,7,3,1,4,2,1,2,1,2,3,1,0,2,1,0,2,0,0,1,3,2,1,7
TRINITY_DN10141_c0_g1,8,0,0,0,5,0,2,4,3,1,0,1,2,1,9,10,15,13,0,0,0,0,3,0,1,0
TRINITY_DN10142_c0_g1,6,3,2,1,4,2,1,4,3,1,3,1,2,6,1,0,2,4,1,4,1,0,1,1,2,4
TRINITY_DN10143_c0_g1,2,5,1,4,1,2,1,2,1,3,1,6,2,1,2,2,3,1,2,3,2,3,1,2,3,1
TRINITY_DN10144_c0_g1,4,1,2,2,8,6,8,8,0,1,4,1,2,1,2,5,1,1,5,6,7,1,5,6,14,12
TRINITY_DN10145_c0_g1,7,0,0,0,9,4,4,17,0,6,1,5,8,0,0,0,0,0,13,6,12,0,1,9,7,0
TRINITY_DN10146_c0_g1,0,12,0,56,12,11,0,18,0,0,0,0,0,0,0,0,6,2,4,8,0,0,0,0,0,0
TRINITY_DN10147_c0_g1,4,2,0,0,1,0,0,5,2,0,3,7,2,4,0,4,1,2,8,10,6,4,2,1,2,1
TRINITY_DN10148_c0_g1,3,1,0,0,1,0,0,6,0,3,0,4,0,1,2,1,2,0,2,0,0,3,1,0,1,0
TRINITY_DN10149_c0_g1,58,20,65,29,65,6,13,64,7,64,6,77,68,89,54,38,35,13,45,10,8,43,34,11,18,6
TRINITY_DN10150_c0_g1,3,3,3,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,3,0,0,0
TRINITY_DN10151_c0_g1,20,5,4,5,10,6,7,11,2,3,2,10,36,11,1,9,1,0,9,4,1,22,6,2,10,4
TRINITY_DN10152_c0_g1,8,3,3,12,6,0,4,8,5,12,5,12,8,8,0,3,13,5,3,6,8,2,2,6,7,14
TRINITY_DN10153_c0_g1,21,0,6,9,13,3,4,13,4,11,1,18,8,8,10,12,5,1,10,2,1,9,6,1,3,3
TRINITY_DN10154_c0_g1,1,11,3,2,1,2,4,0,4,0,2,0,2,1,0,0,0,0,1,3,1,4,0,0,0,0
TRINITY_DN10155_c0_g1,0,0,2,8,3,0,2,2,0,1,0,2,6,2,4,1,4,0,3,2,3,7,2,0,1,2
TRINITY_DN10156_c0_g1,50,27,23,17,16,19,27,30,29,28,15,29,28,24,22,26,26,29,18,23,23,24,14,46,55,45
TRINITY_DN10157_c0_g1,17,1,26,5,26,3,6,17,1,14,0,22,13,44,15,17,4,2,15,2,2,13,12,0,1,1
TRINITY_DN10158_c0_g1,2,9,0,2,5,8,7,4,4,2,2,2,1,0,2,0,4,4,1,1,3,1,5,14,19,21
TRINITY_DN10159_c0_g1,2,1,1,2,0,3,1,4,6,0,2,7,4,4,0,0,4,5,1,1,1,1,1,3,3,4
TRINITY_DN1015_c0_g1,9,10,6,2,10,1,2,4,1,3,5,0,13,6,1,1,2,1,10,3,7,4,3,3,4,2
TRINITY_DN10160_c0_g1,8,3,7,7,12,6,8,4,7,4,8,8,6,13,7,3,4,4,32,14,14,11,4,3,6,4
TRINITY_DN10161_c0_g1,5,0,2,3,0,0,0,0,0,1,0,3,0,4,4,2,12,18,2,15,18,3,5,0,0,0
TRINITY_DN10162_c0_g1,0,9,0,11,5,10,0,8,0,0,0,0,0,0,0,2,6,6,2,15,0,0,0,0,0,0
TRINITY_DN10163_c0_g1,0,1,0,0,2,6,2,0,0,0,0,0,0,0,0,0,1,5,0,3,5,0,2,0,2,0
TRINITY_DN10164_c0_g1,2,13,7,4,0,3,2,1,13,1,11,0,6,11,9,3,30,15,4,20,26,1,6,6,11,23
TRINITY_DN10166_c0_g1,2,10,3,0,3,2,2,6,2,2,2,4,12,2,9,3,6,3,3,14,9,0,13,11,14,12
TRINITY_DN10167_c0_g1,2,8,2,2,0,2,1,0,4,1,0,2,0,1,0,0,4,1,1,4,7,0,2,4,2,1
TRINITY_DN10168_c0_g1,4,26,3,1,1,18,30,0,29,2,18,1,4,6,1,5,31,20,4,16,21,2,0,19,24,26
TRINITY_DN10169_c0_g1,4,2,13,8,4,4,4,5,7,6,1,1,11,6,7,8,3,5,4,4,9,7,7,5,5,1
TRINITY_DN1016_c0_g1,0,5,0,40,6,5,0,7,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0
TRINITY_DN10170_c0_g1,2,2,0,0,0,4,3,2,3,2,1,3,2,1,0,2,3,1,0,2,4,1,1,5,3,4
TRINITY_DN10171_c0_g1,6,10,9,12,11,3,3,20,5,17,3,13,9,13,24,13,14,6,8,16,6,13,3,4,4,3
TRINITY_DN10172_c0_g1,1,4,3,1,2,0,0,2,2,3,0,2,5,3,0,4,2,3,4,1,3,2,4,1,6,0
TRINITY_DN10173_c0_g1,1,0,4,3,2,0,0,7,1,0,0,8,7,7,2,2,1,0,2,0,0,4,6,0,1,1
TRINITY_DN10174_c0_g1,4,5,1,1,1,6,4,4,5,0,0,3,3,0,1,1,4,1,1,1,5,1,2,6,2,1
TRINITY_DN10175_c0_g1,7,26,11,5,5,9,12,9,9,4,11,5,1,10,9,7,27,12,6,30,22,4,4,10,18,17
TRINITY_DN10176_c0_g1,0,8,1,0,3,3,5,2,2,0,3,3,1,6,0,0,5,1,2,5,3,1,3,6,6,4
TRINITY_DN10177_c0_g1,1,0,0,0,0,1,1,1,0,2,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10178_c0_g1,5,6,9,9,7,0,3,4,5,5,1,10,6,11,2,5,2,2,10,3,6,3,4,5,9,8
TRINITY_DN10179_c0_g1,3,3,1,1,0,0,0,1,0,3,0,1,0,0,3,1,0,1,7,8,5,1,2,9,4,9
TRINITY_DN10180_c0_g1,12,17,8,7,4,7,12,6,17,5,12,10,9,10,4,7,8,9,5,13,12,8,3,15,18,16
TRINITY_DN10181_c0_g1,0,1,1,0,0,0,1,1,0,0,0,1,11,0,0,0,1,0,7,13,11,3,1,1,0,2
TRINITY_DN10182_c0_g1,9,15,5,5,7,9,12,3,10,2,12,2,3,7,1,2,6,7,7,19,13,5,2,11,17,15
TRINITY_DN10183_c0_g1,2,0,0,0,0,2,3,3,14,0,1,1,0,1,0,2,1,7,1,0,0,1,1,5,13,3
TRINITY_DN10184_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,1,5,5
TRINITY_DN10185_c0_g1,3,1,5,2,1,0,2,0,0,2,1,5,5,3,4,1,4,0,1,1,2,1,2,0,1,2
TRINITY_DN10186_c0_g1,0,3,4,3,24,6,5,7,0,0,0,0,0,6,4,2,5,5,0,0,0,0,0,0,0,0
TRINITY_DN10187_c0_g1,1,5,1,0,2,4,1,4,3,2,2,0,1,1,0,1,3,0,1,7,3,0,4,0,4,5
TRINITY_DN10188_c0_g1,7,0,1,2,2,1,3,0,4,4,0,2,1,0,1,1,2,1,3,2,6,0,0,1,0,0
TRINITY_DN10189_c0_g1,2,0,3,0,1,1,1,3,0,0,2,1,1,2,2,0,0,0,3,0,2,2,0,0,1,1
TRINITY_DN10190_c0_g1,1,6,1,2,8,9,11,6,2,0,0,2,5,0,1,0,0,0,13,4,11,0,1,7,10,5
TRINITY_DN10191_c0_g1,3,0,2,1,0,0,1,1,0,3,2,1,1,1,1,2,2,0,0,0,0,2,1,0,0,0
TRINITY_DN10192_c0_g1,1,0,1,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,1
