Gene_id	GO_id
TRINITY_DN11089_c0_g1	GO:0030424;GO:0030054;GO:0030426;GO:0005887;GO:0099061;GO:0030285;GO:0043204;GO:0005886;GO:0043395;GO:0008201;GO:0042803;GO:0004725;GO:0030517;GO:0048681;GO:0048671;GO:0061000;GO:0035335;GO:0006470;GO:0099560
TRINITY_DN6012_c0_g1	GO:0005829;GO:1990904;GO:0005525;GO:0003924;GO:0043022;GO:0003746;GO:0050829;GO:0010629;GO:0006414
TRINITY_DN14568_c0_g1	GO:0005615;GO:0043231;GO:0046790;GO:0042632;GO:0030299;GO:0002281
TRINITY_DN7151_c0_g1	GO:0070301
TRINITY_DN97_c0_g1	GO:0005737;GO:0005856;GO:0003785;GO:0007015
TRINITY_DN10135_c0_g1	GO:0016021
TRINITY_DN9441_c0_g1	GO:0016324;GO:0071944;GO:0051286;GO:0032154;GO:0030864;GO:0070062;GO:0005615;GO:0030175;GO:0005925;GO:0030027;GO:0005902;GO:0030496;GO:0005886;GO:0001726;GO:0032420;GO:0030315;GO:0003779;GO:0051117;GO:0045296;GO:0019904;GO:0051018;GO:0003723;GO:0045176;GO:0051016;GO:0036120;GO:0097067;GO:0061028;GO:0045184;GO:0030033;GO:1903392;GO:0045792;GO:0034260;GO:0034111;GO:0030335;GO:1903364;GO:2000643;GO:1900087;GO:0010628;GO:1902966;GO:0010737;GO:0072659;GO:0032231;GO:0008360;GO:0008361;GO:0043087;GO:1902115;GO:0032487;GO:1900027
TRINITY_DN6127_c0_g1	GO:0000785;GO:0032839;GO:0016363;GO:0016607;GO:0005654;GO:0005634;GO:0042382;GO:0090575;GO:0003682;GO:0003677;GO:0070888;GO:0042826;GO:0003676;GO:0042803;GO:0003723;GO:0000978;GO:0044212;GO:0000976;GO:0002218;GO:0000380;GO:0006974;GO:0051276;GO:0098963;GO:0000724;GO:0070932;GO:0045087;GO:0000398;GO:0042754;GO:0000122;GO:0045892;GO:1902177;GO:0045876;GO:0045944;GO:0051726;GO:0042752;GO:0006355;GO:0048511
TRINITY_DN5900_c0_g1	GO:0005813;GO:0005737;GO:0003677
TRINITY_DN5321_c0_g1	GO:0030424;GO:0005930;GO:0005737;GO:0005829;GO:0005576;GO:1904813;GO:0000407;GO:0034774;GO:0019778;GO:0019779;GO:0042803;GO:0008134;GO:0007568;GO:0000045;GO:0006914;GO:0000422;GO:0006501;GO:0071455;GO:0071315;GO:0006995;GO:0009267;GO:0061684;GO:0051607;GO:0044805;GO:0016236;GO:0090298;GO:1903204;GO:0043312;GO:0034727;GO:0075044;GO:0043065;GO:0045732;GO:0031401;GO:0006497;GO:0032446;GO:0015031;GO:0042752;GO:1902617;GO:0009749;GO:0048511;GO:0039521
TRINITY_DN7122_c0_g1	GO:0005634;GO:0046872;GO:0003950;GO:1990404;GO:0070213;GO:0140289
TRINITY_DN14227_c0_g1	GO:0016021;GO:0016020;GO:0005886;GO:0004175;GO:0046872;GO:0004222;GO:0042803;GO:0016486;GO:0016485;GO:0006508
TRINITY_DN12197_c0_g1	GO:0042995;GO:0005814;GO:0005813;GO:0005737;GO:0005634;GO:0005819;GO:0008017;GO:0034453
TRINITY_DN2982_c0_g1	GO:0005789;GO:0016021;GO:0102339;GO:0102340;GO:0102342;GO:0102341;GO:0004303;GO:0006703;GO:0006633
TRINITY_DN8752_c0_g1	GO:0016021;GO:0005886;GO:0045202;GO:0035240;GO:0004952;GO:0004930;GO:0038023;GO:0007195;GO:0010523;GO:0090278
TRINITY_DN10215_c0_g1	GO:0005634;GO:0046872;GO:0048286;GO:0008285;GO:0072201;GO:2000791;GO:2000584;GO:0000122
TRINITY_DN12620_c0_g1	GO:0005789;GO:0016021;GO:0006915;GO:0043066;GO:0006986
TRINITY_DN9289_c0_g1	GO:0005737;GO:0005783;GO:0005789;GO:0016021;GO:0048471;GO:0005524;GO:0019899;GO:0071074;GO:0004694;GO:0051879;GO:0042802;GO:0004672;GO:0019903;GO:0004674;GO:0006919;GO:0001525;GO:0030282;GO:0019722;GO:0034198;GO:0070417;GO:0042149;GO:0002063;GO:0036492;GO:0031018;GO:0007029;GO:0030968;GO:0006983;GO:0045444;GO:0048009;GO:0070059;GO:0007595;GO:0043066;GO:0010629;GO:0031642;GO:0017148;GO:1902010;GO:0032055;GO:0001503;GO:0031016;GO:0018105;GO:0036499;GO:1902237;GO:0010628;GO:1903788;GO:0032092;GO:1900182;GO:0009967;GO:0045943;GO:1990440;GO:0010575;GO:0046777;GO:0051260;GO:0006468;GO:0060734;GO:1902235;GO:0019217;GO:0010998;GO:0034976;GO:0001501;GO:0032933;GO:0006412
TRINITY_DN6981_c0_g1	GO:0030424;GO:0070852;GO:0005737;GO:0030425;GO:0005739;GO:0005634;GO:0051087;GO:0030544;GO:0070628;GO:0090084;GO:0006457
TRINITY_DN3365_c0_g1	GO:0005634;GO:0000125;GO:0000124;GO:0046695;GO:0030914;GO:0005669;GO:0033276;GO:0003677;GO:0004402;GO:0046982;GO:0016251;GO:0017025;GO:0003713;GO:0008134;GO:0006352;GO:0043966;GO:0051091;GO:0051123;GO:0006367
TRINITY_DN12892_c0_g1	GO:0046872;GO:0003676;GO:0043022;GO:0061630;GO:0006513;GO:0016567;GO:0072344
TRINITY_DN12255_c0_g1	GO:0005737;GO:0022625;GO:0022626;GO:0043025;GO:0003735;GO:0002181;GO:0000027
TRINITY_DN10198_c0_g1	GO:0016021;GO:0005507;GO:0016491;GO:0006825
TRINITY_DN11373_c0_g1	GO:0005737;GO:0030154;GO:0007399
TRINITY_DN10334_c0_g1	GO:0005737;GO:0005829;GO:0031965;GO:0005654;GO:0005634;GO:0005524;GO:0004550;GO:0050145;GO:0006756;GO:0006757;GO:0061508;GO:0061566;GO:0006174;GO:0061565;GO:0061570;GO:0061567;GO:0006186;GO:0061568;GO:0015949;GO:0061571;GO:0061569
TRINITY_DN12789_c0_g1	GO:0030286;GO:0005874;GO:0031514;GO:0036157;GO:0097228;GO:0005524;GO:0008569;GO:0045505;GO:0051959;GO:0007018;GO:0036158
TRINITY_DN13420_c0_g1	GO:0005737;GO:0005525;GO:0003924;GO:0003746;GO:0006412;GO:0006414
TRINITY_DN13851_c0_g1	GO:0005813;GO:0036064;GO:0097542;GO:0005829;GO:0031234;GO:0005874;GO:0048471;GO:0005819;GO:1990380;GO:0061578;GO:0070064;GO:0019901;GO:0004843;GO:0036459;GO:0008270;GO:0043369;GO:0007049;GO:0048872;GO:0045087;GO:0070266;GO:0090090;GO:0046329;GO:0032088;GO:1901223;GO:1903753;GO:0032480;GO:0070423;GO:1903829;GO:2001238;GO:0045582;GO:0050862;GO:0016579;GO:0070536;GO:1990108;GO:0045577;GO:1902017;GO:0050727;GO:2001242;GO:0070507;GO:0007346;GO:0060544;GO:0043393;GO:0010803;GO:1901026;GO:0006511;GO:0016055
TRINITY_DN6826_c0_g1	GO:0016021;GO:0016020;GO:0005886;GO:0005261;GO:0008381;GO:0006812;GO:0071260;GO:0050982;GO:0050974;GO:0042391;GO:0009612
TRINITY_DN10242_c0_g1	GO:0005737;GO:0005856;GO:0005829;GO:0046872;GO:0004842;GO:0007369;GO:0030178;GO:0006511
TRINITY_DN3105_c0_g1	GO:0005680;GO:0031461;GO:0005737;GO:0005730;GO:0005654;GO:0005634;GO:0097602;GO:0046872;GO:0061630;GO:0034450;GO:0007049;GO:0051301;GO:0045842;GO:0070979;GO:0016567;GO:0006511
TRINITY_DN11332_c0_g1	GO:0030424;GO:0035253;GO:0005737;GO:0031410;GO:0005829;GO:0030426;GO:0005871;GO:0016020;GO:0043227;GO:0005874;GO:0043005;GO:0043025;GO:0031982;GO:0003777;GO:0015631;GO:0008088;GO:0006886;GO:0035418;GO:0035617
TRINITY_DN984_c0_g1	GO:0005885;GO:0042995;GO:0005737;GO:0003779;GO:0005524;GO:0034314
TRINITY_DN13893_c0_g1	GO:0005737;GO:0046872;GO:0061630;GO:0004842;GO:0090263;GO:0051865;GO:0016567
TRINITY_DN6757_c0_g1	GO:0005737;GO:0005634;GO:0003746;GO:0006414
TRINITY_DN10451_c0_g1	GO:0016021;GO:0006865;GO:0006814
TRINITY_DN8000_c0_g1	GO:0005832;GO:0005524;GO:0051082;GO:0006457
TRINITY_DN2865_c0_g1	GO:0030424;GO:0015030;GO:0005737;GO:0097504;GO:0030426;GO:0043025;GO:0005730;GO:0005654;GO:0005634;GO:0043204;GO:0048471;GO:0030971;GO:0031369;GO:0008270;GO:1902742;GO:0061564;GO:0030576;GO:0008283;GO:0071364;GO:0042023;GO:0001833;GO:0000226;GO:0006397;GO:2000672;GO:0010628;GO:0045927;GO:0042307;GO:0033120;GO:0071931;GO:1990261;GO:0031641;GO:0008380;GO:0021510;GO:0001834
TRINITY_DN6870_c0_g1	GO:0016757
TRINITY_DN13277_c0_g1	GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0043231;GO:0005874;GO:0005635;GO:0005654;GO:0005634;GO:0016581;GO:0003682;GO:0019899;GO:0042826;GO:0000978;GO:0001103;GO:0003713;GO:0003714;GO:0008270;GO:0032922;GO:0006302;GO:0043153;GO:0016575;GO:0045475;GO:0000122;GO:1902499;GO:0043161;GO:0040029;GO:0010212;GO:0033363
TRINITY_DN7097_c0_g1	GO:0031462;GO:0005654;GO:0031625;GO:0016567;GO:0006511
TRINITY_DN14293_c0_g1	GO:0005737;GO:0019904;GO:0070372
TRINITY_DN3269_c0_g1	GO:0005829;GO:0005576;GO:0043564;GO:0016020;GO:0070419;GO:0000784;GO:0000783;GO:0005730;GO:0005654;GO:0005634;GO:0005886;GO:0032991;GO:0032993;GO:1990904;GO:0034774;GO:0090734;GO:0005524;GO:0003684;GO:0003677;GO:0045027;GO:0003678;GO:0003690;GO:0008047;GO:0008022;GO:0044877;GO:0003723;GO:0042162;GO:0044212;GO:0031625;GO:0002218;GO:0007420;GO:0008283;GO:0071475;GO:0006974;GO:0071398;GO:0071480;GO:1990830;GO:0071481;GO:0006310;GO:0006302;GO:0006303;GO:0075713;GO:0060218;GO:0045087;GO:1904430;GO:0045892;GO:0043312;GO:0043085;GO:0050769;GO:0045860;GO:0051973;GO:0032212;GO:0032481;GO:0070198;GO:0048660;GO:0032204;GO:0042493;GO:0000723
TRINITY_DN10076_c0_g1	GO:0005884;GO:0005912;GO:0043296;GO:0016324;GO:0009925;GO:0030864;GO:0005737;GO:0009898;GO:0005925;GO:0043231;GO:0051015;GO:0045159;GO:0030036;GO:0007015;GO:0007420;GO:0050890
TRINITY_DN1841_c0_g1	GO:0005524;GO:0016874;GO:0006464
TRINITY_DN6906_c0_g1	GO:0031672;GO:0005623;GO:0043034;GO:0005737;GO:0005856;GO:0005769;GO:0005887;GO:0014704;GO:0005764;GO:0031430;GO:0005739;GO:0048471;GO:0005886;GO:0014069;GO:0045211;GO:0055037;GO:0042383;GO:0030315;GO:0030018;GO:0051117;GO:0044325;GO:0015459;GO:0030674;GO:0086014;GO:0086066;GO:0060048;GO:0006874;GO:0034613;GO:0006897;GO:1901021;GO:0051928;GO:2001259;GO:0010628;GO:1901018;GO:0043268;GO:0008104;GO:0034394;GO:0070972;GO:0036309;GO:0072659;GO:0036371;GO:0050821;GO:0015031;GO:0098910;GO:0098904;GO:1901019;GO:0051924;GO:0086004;GO:0086036;GO:0055117;GO:0010882;GO:0010881;GO:2001257;GO:0002027;GO:0086091;GO:0031647;GO:0098907;GO:0086015;GO:0086070;GO:0033292
TRINITY_DN1961_c0_g1	GO:0012505;GO:0016021;GO:0006457
TRINITY_DN12970_c0_g1	GO:0005604;GO:0005201;GO:0009887;GO:0007411;GO:0007414;GO:0071711;GO:0007155;GO:0016477;GO:0001764;GO:0010950;GO:0040017;GO:0042127;GO:0000003;GO:0009408;GO:0051788;GO:0009888
TRINITY_DN8341_c0_g1	GO:0000786;GO:0005634;GO:0003677;GO:0046982
TRINITY_DN13027_c0_g1	GO:0005739;GO:0016853;GO:0050023;GO:0000287;GO:0044275
TRINITY_DN8377_c0_g1	GO:0005623;GO:0009986;GO:0005887;GO:0016020;GO:0045121;GO:0043005;GO:0032809;GO:0005886;GO:0042734;GO:0003779;GO:0043014;GO:0048487;GO:0005330;GO:0046872;GO:0008504;GO:0005328;GO:0005334;GO:0007268;GO:0051583;GO:0015844;GO:0070050;GO:0015874;GO:0048265
TRINITY_DN2624_c0_g1	GO:0042995;GO:0005737;GO:0005856;GO:0060271;GO:0061371;GO:0032474
TRINITY_DN7063_c0_g1	GO:1904115;GO:0016021;GO:0031306;GO:0005740;GO:0005525;GO:0003924;GO:0008344;GO:0019896;GO:0006697;GO:0007029;GO:0034389;GO:0008053;GO:0051646;GO:0070584;GO:0007005;GO:0010636;GO:0090140;GO:0034976
TRINITY_DN5136_c0_g1	GO:0015934;GO:0003735;GO:0006412
TRINITY_DN1625_c0_g1	GO:0005741;GO:0005739;GO:0005777;GO:0030151;GO:0016491;GO:0030170
TRINITY_DN3378_c0_g1	GO:0005829;GO:0005769;GO:0005768;GO:0010008;GO:0070062;GO:0098978;GO:0005770;GO:0005765;GO:0005764;GO:0099073;GO:0043005;GO:0043025;GO:0048471;GO:0014069;GO:0098793;GO:0030904;GO:0030906;GO:0097422;GO:0031748;GO:0006886;GO:0007040;GO:0043653;GO:0099074;GO:0060548;GO:1903828;GO:0010629;GO:0050728;GO:1902823;GO:1905166;GO:1901215;GO:0032463;GO:0099639;GO:0098887;GO:0090263;GO:1903364;GO:1903181;GO:0060161;GO:0010628;GO:0090326;GO:0090141;GO:0061357;GO:0031648;GO:0036010;GO:0032268;GO:1902950;GO:0016241;GO:0010821;GO:1905606;GO:0031647;GO:2000331;GO:0042147;GO:1990126;GO:0007416;GO:0045056;GO:0099003;GO:0016032;GO:0050882;GO:0016055
TRINITY_DN1901_c0_g1	GO:0005829;GO:0005654;GO:0005634;GO:0003755;GO:0003723;GO:1901407
TRINITY_DN4501_c0_g1	GO:0005763;GO:0003735;GO:0032543
TRINITY_DN11333_c0_g1	GO:0050662;GO:0050577;GO:0047918;GO:0042802;GO:0042351;GO:0019673;GO:0001913
TRINITY_DN12732_c0_g1	GO:0016021;GO:0005886;GO:0004930;GO:0060070;GO:0007275;GO:0051091
TRINITY_DN1469_c0_g1	GO:0016021;GO:0008250;GO:0006487
TRINITY_DN8430_c0_g1	GO:0005737;GO:0005829;GO:0005788;GO:0043231;GO:0005739;GO:0005524;GO:0016887;GO:0042623;GO:0031072;GO:0051787;GO:0044183;GO:0051082;GO:0034620;GO:0051085;GO:0035437;GO:1903895;GO:0031333;GO:0030335;GO:0031204;GO:0042026;GO:0006986
TRINITY_DN8842_c0_g1	GO:0005737;GO:0000334;GO:0008198;GO:0034354;GO:0043420;GO:0019805;GO:0046874;GO:0006569
TRINITY_DN3684_c0_g1	GO:0005829;GO:0016020;GO:0005634;GO:0005524;GO:0001671;GO:0051087;GO:0031072;GO:0046872;GO:0051082;GO:0042026;GO:0009408
TRINITY_DN12753_c0_g1	GO:0005737;GO:0015934;GO:0019843;GO:0003735;GO:0006412
TRINITY_DN6301_c0_g1	GO:0005813;GO:0005737;GO:0005874;GO:0005819;GO:0000922;GO:0051781;GO:0032467
TRINITY_DN11070_c0_g1	GO:0005938;GO:0030425;GO:0005769;GO:0016459;GO:0043204;GO:0003779;GO:0005524;GO:0005516;GO:0003774;GO:0007275;GO:0015031
TRINITY_DN13602_c0_g1	GO:0005829;GO:0031901;GO:0033565;GO:0005764;GO:0032585;GO:0046872;GO:0019904;GO:0044389;GO:0010324;GO:0016525;GO:0010642;GO:0046426;GO:0030948;GO:1903543;GO:0010628;GO:0072657;GO:0006622;GO:0043405
TRINITY_DN13261_c0_g1	GO:0030424;GO:0005911;GO:0030425;GO:0016021;GO:0005887;GO:0005886;GO:0008013;GO:0045296;GO:0005509;GO:0042803;GO:0048675;GO:0048846;GO:0007411;GO:0007412;GO:0007413;GO:0016339;GO:0098609;GO:0044331;GO:0007156;GO:0050774;GO:0016318;GO:0045467;GO:0045463;GO:0048841;GO:0048814;GO:0031290
TRINITY_DN11512_c0_g1	GO:0005829;GO:0098978;GO:0098793;GO:0019005;GO:0098685;GO:0001662;GO:0043687;GO:0000209;GO:0099575;GO:2000300;GO:0031146;GO:0006511
TRINITY_DN4864_c0_g1	GO:0005737;GO:0005524
TRINITY_DN331_c0_g1	GO:0022627;GO:0005730;GO:0045202;GO:0003723;GO:0003735;GO:0031369;GO:0030218;GO:0007219;GO:0000028;GO:0006412
TRINITY_DN8385_c0_g1	GO:0009535;GO:0016021;GO:0009539;GO:0015979
TRINITY_DN5997_c0_g1	GO:0009535;GO:0016021;GO:0045263;GO:0008289;GO:0046933;GO:0015986
TRINITY_DN8134_c0_g1	GO:0043204;GO:0020037;GO:0046872;GO:0019825;GO:0005344
TRINITY_DN7573_c0_g1	GO:0005813;GO:0005737;GO:0005730;GO:0005654;GO:0005524;GO:0046872;GO:0004674;GO:0007059;GO:0016572;GO:0031573;GO:0035556;GO:0006468;GO:1901990
TRINITY_DN5381_c0_g1	GO:0005737;GO:0005634;GO:0005839;GO:0019773;GO:0004298;GO:0002376;GO:0006511
TRINITY_DN10963_c0_g1	GO:0005829;GO:0004029;GO:0018479;GO:0001758;GO:0055114;GO:0001523;GO:0042572
TRINITY_DN13092_c0_g1	GO:0005096;GO:0017137;GO:0090630;GO:0006886
TRINITY_DN633_c0_g1_i2	GO:0005737;GO:0005874;GO:0005525;GO:0003924;GO:0005200;GO:0007017
TRINITY_DN6702_c0_g1	GO:0016021
TRINITY_DN12627_c0_g1	GO:0005654;GO:0005634;GO:0045202;GO:0003723;GO:0000978;GO:0048588;GO:0071425;GO:0010628;GO:1900149;GO:0006357;GO:0048103
TRINITY_DN10310_c0_g1	GO:0010494;GO:0005829;GO:0000932;GO:0005524;GO:0003729;GO:0003723;GO:0003724;GO:0033962;GO:0006397;GO:0051028;GO:0006417;GO:0034063;GO:0016032
TRINITY_DN13524_c0_g1	GO:0030054;GO:0005737;GO:0005856;GO:0032590;GO:0043198;GO:0043197;GO:0014069;GO:0060079;GO:0060291;GO:0051260
TRINITY_DN6838_c0_g1	GO:0005737;GO:0005634;GO:0031491;GO:0003723;GO:0051082;GO:0006334
TRINITY_DN3475_c0_g1	GO:0005737;GO:0005829;GO:0005789;GO:0005739;GO:0016607;GO:0005634;GO:0005886;GO:0005524;GO:0005246;GO:0017081;GO:0015459;GO:0004674;GO:0004712;GO:0017080;GO:0006915;GO:0006974;GO:0035556;GO:0034220;GO:0007616;GO:0048812;GO:0018105;GO:0032411;GO:0006468;GO:0042981;GO:0008217;GO:0050790;GO:0001558;GO:0030334;GO:0042127;GO:0051090;GO:0060453;GO:0070294;GO:0006814
TRINITY_DN4422_c0_g1	GO:0005634;GO:0031490;GO:0042393;GO:0008587;GO:0007219;GO:0042461;GO:0045747;GO:0045944;GO:0006355;GO:0048190
TRINITY_DN12294_c0_g1	GO:0005737;GO:0005815;GO:0030496;GO:0000922;GO:0019900;GO:0007049;GO:0051301;GO:0007346
TRINITY_DN4433_c0_g1	GO:0005737;GO:0005829;GO:0005875;GO:0043025;GO:0005654;GO:0005634;GO:0048471;GO:0005524;GO:0004674;GO:0004713;GO:0048156;GO:0050321;GO:0007611;GO:0010629;GO:0032091;GO:0018105;GO:0018107;GO:0018108;GO:1904031;GO:2001056;GO:0010628;GO:1903980;GO:0032273;GO:0006468
TRINITY_DN9692_c0_g1	GO:0098559;GO:0098560;GO:0098574;GO:0009898;GO:0000139;GO:0005634;GO:0003677;GO:0008270
TRINITY_DN973_c0_g1	GO:0005829;GO:0022625;GO:0005634;GO:0042788;GO:0014069;GO:0005840;GO:0003723;GO:0035368;GO:0003735;GO:0061844;GO:0002181;GO:0050829;GO:0031640;GO:0097421;GO:1904571
TRINITY_DN8697_c0_g1	GO:0016607;GO:0005685;GO:0071004;GO:0003723;GO:0045292;GO:0000398
TRINITY_DN7250_c0_g1	GO:0005737;GO:0005634;GO:0004122;GO:0046872;GO:0042803;GO:0030170;GO:0006535;GO:0019343;GO:0043418;GO:0050667;GO:0070814;GO:0006563
TRINITY_DN4705_c0_g1	GO:0005623;GO:0005737;GO:0005886;GO:0004089;GO:0008270;GO:0038166;GO:2001150;GO:0044070;GO:0051453
TRINITY_DN10731_c0_g1	GO:0050662;GO:0050325
TRINITY_DN8830_c0_g1	GO:0030424;GO:0098978;GO:0099055;GO:0005886;GO:0008201;GO:0042802;GO:0046872;GO:0017154;GO:0005021;GO:0001525;GO:0048846;GO:0007411;GO:1990830;GO:1904835;GO:0021612;GO:1903375;GO:0021828;GO:0007507;GO:0050919;GO:0021675;GO:0001755;GO:1901166;GO:0001764;GO:0003148;GO:0099175;GO:1902285;GO:0097374;GO:0061549;GO:0097490;GO:0097491;GO:0061551;GO:0036486;GO:0021649
TRINITY_DN9589_c0_g1	GO:0005737;GO:0005634;GO:0032991;GO:0090575;GO:0001228;GO:0003700;GO:0000981;GO:0017022;GO:0046982;GO:0043565;GO:0007420;GO:0071456;GO:0032869;GO:0007417;GO:0008347;GO:0016348;GO:0008286;GO:0060173;GO:0000122;GO:0048477;GO:0045944;GO:0045676;GO:0006357;GO:0006355
TRINITY_DN12996_c0_g1	GO:0009535;GO:0016021;GO:0045263;GO:0008289;GO:0046933;GO:0015986
TRINITY_DN13574_c0_g1	GO:0005829;GO:0031941;GO:0005815;GO:0043195;GO:0003779;GO:0071949;GO:0046872;GO:0016709;GO:0030036;GO:0030042;GO:0007015;GO:0030047;GO:0007411;GO:0048813;GO:0016322;GO:0055114;GO:1904799;GO:0045214;GO:0030240;GO:0060386
TRINITY_DN7392_c0_g1	GO:0016461;GO:0003779;GO:0005524;GO:0005516;GO:0003774
TRINITY_DN5673_c0_g1	GO:0070062;GO:0005615;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374
TRINITY_DN12062_c0_g1	GO:0005737;GO:0005634;GO:0046872;GO:0003950;GO:0090090;GO:0090263;GO:0032436;GO:0045732;GO:1904355;GO:2000060;GO:0006471;GO:0070198;GO:0070212
TRINITY_DN4532_c0_g1	GO:0005737;GO:0004197;GO:0004843;GO:0036459;GO:0016477;GO:0090263;GO:0016579;GO:0071108;GO:0006511;GO:0016055
TRINITY_DN4409_c0_g1	GO:0005829;GO:0016020;GO:0005634;GO:0043186;GO:0005524;GO:0004386;GO:0046872;GO:0003723;GO:0035194
TRINITY_DN11562_c0_g1	GO:0005814;GO:0005813;GO:0097539;GO:0071439;GO:0005829;GO:0030276;GO:0008022;GO:0017080;GO:0097711;GO:0060271;GO:0045162
TRINITY_DN11822_c0_g1	GO:0005737;GO:0016607;GO:0005681;GO:0000346;GO:0005687;GO:0005688;GO:0005524;GO:0043008;GO:0042802;GO:0003723;GO:0003724;GO:0008186;GO:0030621;GO:0017070;GO:0006406;GO:0000398;GO:2000002;GO:0032786;GO:0010501;GO:0000245;GO:0046784
TRINITY_DN12043_c0_g1	GO:0005737;GO:0005829;GO:0045111;GO:0005524;GO:0003690;GO:0003725;GO:0003724;GO:0003727;GO:0051607;GO:0045087;GO:1900245;GO:1900246;GO:0009615
TRINITY_DN5344_c0_g1	GO:1990904;GO:0005840;GO:0042254
TRINITY_DN2970_c0_g1	GO:0005634;GO:0046872;GO:0035064;GO:0007049;GO:0030308;GO:0008285;GO:0045893;GO:0010941
TRINITY_DN37_c0_g1_i2	GO:0106003;GO:0032059;GO:0005814;GO:0005737;GO:0010494;GO:0005856;GO:0000139;GO:0030027;GO:0005886;GO:0001726;GO:0019828;GO:0005524;GO:0017049;GO:0046872;GO:0004674;GO:0072518;GO:0030036;GO:0031032;GO:0003383;GO:0006915;GO:0032060;GO:0030866;GO:0007010;GO:0048598;GO:0007249;GO:0007159;GO:0050900;GO:0050901;GO:0022614;GO:0000281;GO:0061157;GO:0051451;GO:1902992;GO:1902430;GO:0016525;GO:1903347;GO:0035509;GO:0043524;GO:0032091;GO:0140058;GO:0031175;GO:0018105;GO:0018107;GO:1900223;GO:0010508;GO:0010613;GO:1905205;GO:0051894;GO:0010628;GO:0043410;GO:0072659;GO:0006468;GO:0032956;GO:0032970;GO:0110061;GO:0097746;GO:1901888;GO:0030334;GO:1903140;GO:0045616;GO:0070507;GO:0045664;GO:1900242;GO:1990776;GO:0071559;GO:0007266
