,HA1,CA2,HB2,CB3,CB4,HB5,HB6,CC2,CC3,CD2,CD4,HD6,CF8,HK4,HN1,HO1,HO2,CO4,CQ2,HQ3,CQ4,CQ5,HQ6
TRINITY_DN10034_c0_g1,1,0,0,0,0,0,0,0,0,334,96,8,166,0,0,0,2,179,0,0,0,0,0
TRINITY_DN10035_c0_g1,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,18,0,0,0,0,0
TRINITY_DN10036_c0_g1,0,0,0,0,0,0,0,0,0,4,7,3,9,0,0,0,0,15,0,0,0,0,0
TRINITY_DN10037_c0_g1,8,4,2,3,2,2,0,5,4,3,0,1,2,3,0,0,0,3,3,2,3,7,3
TRINITY_DN10038_c0_g1,6,15,3,2,1,1,0,5,8,0,0,0,3,0,0,12,1,26,15,0,3,5,1
TRINITY_DN10039_c0_g1,2,2,2,0,1,1,1,1,3,1,0,0,1,2,0,0,1,0,1,0,0,3,1
TRINITY_DN10040_c0_g1,0,4,1,5,4,4,1,4,1,7,0,1,8,3,0,2,1,3,4,2,5,3,9
TRINITY_DN10041_c0_g1,3,4,4,4,2,5,1,5,5,15,5,4,7,4,2,1,2,2,1,7,11,8,5
TRINITY_DN10042_c0_g1,4,14,7,2,2,1,0,7,5,6,4,5,9,6,4,5,5,8,6,17,12,7,8
TRINITY_DN10043_c0_g1,1,5,1,0,2,2,0,6,0,7,5,1,3,6,2,11,0,11,3,5,8,8,2
TRINITY_DN10044_c1_g1,4,1,1,4,0,1,0,3,0,5,3,2,4,1,2,2,2,0,2,2,4,2,2
TRINITY_DN10045_c0_g1,2,4,3,4,2,1,3,0,1,3,5,0,2,2,3,2,3,4,3,2,2,2,5
TRINITY_DN10046_c0_g1,0,1,1,2,0,2,1,2,1,4,0,0,3,3,0,3,0,1,1,0,1,1,0
TRINITY_DN10047_c0_g1,1,1,1,0,1,0,0,0,0,4,1,0,2,1,0,1,1,1,1,0,2,2,1
TRINITY_DN10048_c0_g1,6,0,5,0,1,1,1,0,0,3,3,3,0,3,1,10,2,5,4,2,6,7,0
TRINITY_DN10049_c0_g1,4,44,2,1,5,0,1,2,7,15,4,0,15,5,3,3,3,7,6,1,13,7,1
TRINITY_DN10050_c0_g1,4,3,9,1,2,1,2,5,2,6,6,5,3,4,8,3,3,3,4,2,5,4,6
TRINITY_DN10051_c0_g1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10052_c0_g1,2,2,4,1,0,0,0,1,0,2,1,0,2,3,4,2,0,1,2,0,0,0,0
TRINITY_DN10053_c0_g1,7,7,10,7,6,2,1,5,5,17,11,6,5,9,1,9,6,8,10,2,10,27,9
TRINITY_DN10054_c0_g1,2,1,0,2,0,3,0,2,2,12,4,1,5,1,1,2,3,6,5,2,3,2,5
TRINITY_DN10055_c0_g1,7,1,9,3,5,3,5,1,1,1,0,1,2,3,0,1,7,0,4,2,3,2,5
TRINITY_DN10056_c0_g1,6,20,20,5,5,4,1,7,0,64,4,5,3,3,0,6,2,1,9,1,7,48,12
TRINITY_DN10057_c0_g1,0,0,1,2,1,1,0,4,2,3,0,1,1,3,0,0,1,1,1,0,1,3,2
TRINITY_DN10058_c0_g1,0,4,1,3,0,2,3,3,4,9,2,0,4,4,4,4,4,1,3,0,4,6,11
TRINITY_DN10059_c0_g1,5,6,4,6,2,5,1,2,7,4,1,2,3,3,0,3,5,4,4,1,3,7,1
TRINITY_DN1005_c0_g1,10,11,7,11,5,5,3,6,11,19,6,8,13,9,4,7,7,8,11,4,17,15,7
TRINITY_DN10060_c0_g1,3,4,8,2,1,2,2,5,3,3,4,3,6,1,0,8,5,6,0,0,3,0,2
TRINITY_DN10061_c0_g1,5,1,10,4,7,3,7,0,1,8,1,2,2,3,2,5,9,6,6,3,3,1,3
TRINITY_DN10062_c0_g1,2,4,3,1,2,1,1,2,1,2,2,5,0,1,2,3,5,1,4,3,6,4,1
TRINITY_DN10063_c0_g1,3,5,10,1,8,5,3,3,2,8,1,5,8,7,0,6,2,5,3,1,2,1,4
TRINITY_DN10064_c0_g1,1,0,1,0,0,0,0,1,1,4,2,0,2,3,0,1,2,0,2,1,1,0,8
TRINITY_DN10065_c0_g1,4,4,4,9,9,2,3,18,5,10,3,0,19,1,0,1,5,7,16,0,26,16,0
TRINITY_DN10066_c0_g1,4,6,1,0,2,2,2,1,3,2,0,0,2,4,2,0,3,5,5,0,6,9,3
TRINITY_DN10067_c0_g1,3,6,5,3,1,0,3,3,3,4,1,2,2,2,0,2,4,1,2,1,1,5,1
TRINITY_DN10068_c0_g1,2,6,3,2,4,6,3,4,1,9,0,6,2,3,2,4,6,4,7,2,1,3,8
TRINITY_DN10069_c0_g1,2,0,3,3,3,2,2,7,1,5,2,1,3,2,1,1,2,2,2,0,3,0,0
TRINITY_DN1006_c0_g1,5,8,5,1,5,5,1,5,5,5,1,1,4,4,13,7,1,6,7,5,5,4,15
TRINITY_DN10070_c0_g1,0,5,6,2,7,9,4,0,0,0,0,0,16,3,2,7,5,0,0,1,0,0,2
TRINITY_DN10071_c0_g1,1,4,5,5,5,4,7,3,4,3,4,0,1,0,0,2,0,3,1,2,4,2,0
TRINITY_DN10072_c0_g1,0,0,0,0,0,0,0,0,0,10,8,7,26,0,0,0,1,36,0,0,0,0,0
TRINITY_DN10073_c0_g1,19,10,13,5,1,6,10,6,7,17,6,5,10,7,6,23,16,6,5,4,13,8,20
TRINITY_DN10074_c0_g1,4,23,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,1,7,0
TRINITY_DN10075_c0_g1,5,1,4,3,0,1,0,8,1,1,0,0,2,7,0,0,1,0,2,1,1,3,0
TRINITY_DN10076_c0_g1,1,3,8,2,0,2,4,0,3,5,1,1,3,3,1,2,4,2,3,0,0,3,2
TRINITY_DN10077_c0_g1,4,5,1,4,1,2,0,3,4,2,0,1,3,7,2,1,3,6,1,3,3,2,5
TRINITY_DN10078_c0_g1,0,0,0,0,0,0,0,0,0,7,10,5,31,0,0,0,1,21,0,0,0,0,0
TRINITY_DN10079_c0_g1,5,6,6,3,2,0,0,7,2,7,0,2,3,1,0,5,3,6,2,0,3,6,6
TRINITY_DN10080_c0_g1,19,14,49,6,12,11,11,13,7,11,2,6,17,20,5,16,30,11,10,13,12,14,24
TRINITY_DN10081_c0_g1,21,10,5,0,0,3,1,0,0,1,1,1,0,0,2,1,4,0,0,0,28,15,1
TRINITY_DN10082_c0_g1,9,12,7,4,4,2,4,3,2,25,13,3,7,11,3,6,3,12,13,8,16,11,4
TRINITY_DN10083_c0_g1,8,8,17,2,6,5,5,1,1,10,1,7,3,3,9,33,4,5,11,5,3,7,11
TRINITY_DN10084_c0_g1,2,0,1,4,0,3,0,0,0,8,1,4,7,3,0,2,10,0,2,1,0,0,0
TRINITY_DN10085_c0_g1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,42,10,7,0,5,0,0,0,20
TRINITY_DN10086_c0_g1,3,0,2,2,2,2,1,2,1,1,1,0,2,5,1,5,2,0,0,0,1,0,0
TRINITY_DN10087_c0_g1,0,1,10,4,4,6,4,0,0,15,3,0,1,0,4,4,0,1,3,0,11,7,1
TRINITY_DN10088_c0_g1,8,0,3,1,0,1,0,1,1,0,1,0,11,16,0,0,0,0,2,0,2,2,1
TRINITY_DN10089_c0_g1,38,14,41,11,11,20,17,12,11,21,8,24,15,25,6,45,16,18,15,11,6,10,27
TRINITY_DN10090_c0_g1,20,41,12,11,6,8,1,23,9,28,28,16,30,10,9,27,19,24,26,12,19,38,33
TRINITY_DN10091_c0_g1,1,0,6,3,4,4,3,1,2,4,3,0,8,2,0,5,3,3,3,0,0,1,2
TRINITY_DN10092_c0_g1,14,10,8,4,3,3,4,7,16,19,4,6,11,4,11,6,7,7,14,1,3,6,19
TRINITY_DN10093_c0_g1,9,17,34,47,40,18,17,7,8,24,14,6,22,26,6,40,48,88,58,7,0,0,0
TRINITY_DN10094_c0_g1,0,2,10,8,13,3,4,16,15,39,20,11,33,11,0,6,0,9,0,9,28,14,3
TRINITY_DN10095_c0_g1,85,32,119,114,2,27,16,0,0,169,47,84,8,115,240,39,54,18,7,53,66,61,222
TRINITY_DN10096_c0_g1,6,13,23,12,6,13,10,19,6,17,3,9,16,23,3,14,8,9,1,3,10,16,13
TRINITY_DN10098_c0_g1,5,2,3,0,0,2,1,2,1,1,4,1,3,3,0,9,6,1,1,0,7,6,4
TRINITY_DN10099_c0_g1,4,9,3,1,1,2,1,10,2,5,0,0,4,1,4,1,3,2,2,0,2,6,9
TRINITY_DN1009_c0_g1,1,2,4,0,2,4,1,5,1,5,0,3,3,2,1,4,2,0,5,2,0,2,1
TRINITY_DN100_c0_g1,43,38,36,18,25,19,10,34,13,95,44,32,46,32,18,38,34,48,59,31,72,69,78
TRINITY_DN10100_c0_g1,8,8,22,4,2,6,5,11,3,5,4,6,4,1,13,7,4,0,5,1,0,0,10
TRINITY_DN10101_c0_g1,2,3,1,1,2,2,2,0,0,2,1,0,3,1,1,2,0,0,3,3,1,1,0
TRINITY_DN10102_c0_g1,11,19,13,3,3,4,5,9,6,20,2,4,17,11,6,18,5,8,9,3,7,18,4
TRINITY_DN10103_c0_g1,2,0,6,0,2,0,2,4,1,5,1,1,6,3,4,2,12,3,4,8,4,2,1
TRINITY_DN10104_c0_g1,4,1,10,8,7,4,4,3,2,5,1,1,4,3,1,6,5,2,5,1,3,6,4
TRINITY_DN10105_c0_g1,26,45,41,8,11,31,8,30,13,50,20,25,24,59,15,20,35,16,10,17,24,12,57
TRINITY_DN10106_c0_g1,2,3,1,1,0,0,3,9,5,2,0,2,1,6,5,10,2,1,3,1,4,6,4
TRINITY_DN10107_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,30,10,1,0,0,0,0,0,0,0,0
TRINITY_DN10108_c0_g1,2,3,2,0,0,1,1,0,0,3,1,1,3,5,2,4,1,0,3,5,2,1,6
TRINITY_DN10109_c0_g1,4,7,0,4,3,3,2,1,2,11,3,2,4,4,0,1,1,1,6,2,2,2,3
TRINITY_DN1010_c0_g1,18,11,11,3,7,8,1,14,6,31,15,15,18,12,4,9,16,16,30,1,22,8,15
TRINITY_DN10110_c0_g1,0,1,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1
TRINITY_DN10111_c0_g1,0,3,0,0,0,0,0,2,0,4,0,0,2,1,1,1,0,3,0,0,6,0,1
TRINITY_DN10112_c0_g1,0,1,0,2,1,0,0,0,0,2,2,2,1,2,0,0,0,3,2,2,3,3,1
TRINITY_DN10113_c0_g1,3,2,4,0,5,5,4,7,3,24,8,7,14,3,0,3,5,3,4,9,2,1,8
TRINITY_DN10114_c0_g1,9,1,4,4,0,1,1,0,2,8,8,4,4,0,2,3,2,1,1,0,6,3,0
TRINITY_DN10115_c0_g1,4,6,7,1,1,1,2,4,6,6,0,4,3,7,1,9,3,4,2,2,6,2,2
TRINITY_DN10116_c0_g1,5,0,2,3,1,2,2,1,2,4,2,2,0,3,1,11,0,2,0,1,1,3,2
TRINITY_DN10117_c0_g1,3,4,3,2,4,0,0,0,0,4,2,1,6,0,0,0,0,5,0,0,2,3,2
TRINITY_DN10118_c0_g1,6,31,2,8,17,5,3,8,3,36,18,8,39,4,3,8,8,24,38,1,29,45,4
TRINITY_DN10119_c0_g1,1,1,0,5,12,3,2,3,7,6,4,2,0,2,0,3,2,2,2,2,3,1,2
TRINITY_DN10121_c0_g1,40,52,21,15,12,15,5,40,19,109,34,14,47,16,14,34,20,63,35,12,112,66,45
TRINITY_DN10122_c0_g1,10,13,5,7,8,6,3,11,3,16,7,7,12,5,1,4,9,7,9,2,9,9,7
TRINITY_DN10123_c0_g1,5,3,5,7,2,2,1,16,6,12,0,1,16,4,0,1,0,8,5,0,16,7,0
TRINITY_DN10124_c0_g1,3,7,3,1,2,0,1,2,3,6,1,1,3,3,5,5,3,3,4,6,3,3,9
TRINITY_DN10125_c0_g1,2,11,3,3,5,3,3,1,5,18,4,4,17,7,6,0,4,2,26,1,10,15,3
TRINITY_DN10126_c0_g1,25,5,6,4,3,6,2,7,36,28,17,8,18,4,2,3,10,2,9,1,25,15,23
TRINITY_DN10127_c0_g1,1,0,0,0,0,0,0,0,1,2,1,1,0,29,0,0,1,0,0,0,0,0,0
TRINITY_DN10128_c0_g1,3,0,1,1,4,0,0,1,0,8,0,1,4,2,1,2,3,2,3,0,4,3,0
TRINITY_DN10129_c0_g1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
TRINITY_DN10130_c0_g1,2,0,5,0,2,1,0,0,2,6,1,0,1,1,0,2,0,1,1,1,2,4,2
TRINITY_DN10131_c0_g1,2,7,3,0,2,1,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,3
TRINITY_DN10132_c0_g1,3,10,4,7,11,4,4,0,0,30,1,3,0,2,0,21,0,0,5,1,11,20,2
TRINITY_DN10133_c0_g1,0,3,0,3,2,0,0,2,1,3,1,0,5,0,2,1,1,1,1,0,2,3,1
TRINITY_DN10134_c0_g1,2,5,3,5,2,2,3,3,5,8,1,3,8,0,2,5,4,3,3,1,6,12,4
TRINITY_DN10135_c0_g1,72,52,122,70,63,78,65,61,42,113,25,23,90,9,53,18,17,56,51,3,46,60,102
TRINITY_DN10136_c0_g1,4,9,7,2,10,2,1,7,5,7,9,2,9,0,0,4,0,5,12,0,6,12,0
TRINITY_DN10137_c0_g1,9,4,14,1,4,5,4,20,9,2,3,3,8,10,1,8,8,8,4,0,3,2,5
TRINITY_DN10138_c0_g1,4,11,5,5,2,3,3,6,5,14,5,4,5,3,2,3,1,8,4,4,1,0,2
TRINITY_DN10139_c0_g1,9,4,2,1,0,0,0,2,3,5,3,1,3,1,2,6,3,1,4,2,3,3,10
TRINITY_DN10140_c0_g1,5,10,1,4,2,3,2,4,0,10,1,3,7,2,2,1,1,5,4,0,7,6,1
TRINITY_DN10141_c0_g1,0,6,0,0,0,0,0,0,1,10,4,7,0,1,0,0,3,0,0,1,0,2,0
TRINITY_DN10142_c0_g1,1,2,0,1,0,1,1,1,3,4,0,2,3,2,0,1,0,1,1,0,1,4,0
TRINITY_DN10143_c0_g1,7,4,3,4,1,2,2,4,4,1,0,0,3,1,0,1,5,3,2,0,4,2,4
TRINITY_DN10144_c0_g1,2,3,5,2,6,6,6,4,5,7,0,1,5,1,8,4,3,1,4,3,3,5,2
TRINITY_DN10145_c0_g1,0,10,0,0,0,0,0,0,0,12,2,3,0,0,0,0,0,3,4,0,0,0,0
TRINITY_DN10146_c0_g1,0,0,0,0,0,0,0,0,0,7,8,25,17,0,0,0,0,17,0,0,0,0,0
TRINITY_DN10147_c0_g1,4,4,10,5,4,5,3,1,1,3,1,1,9,2,4,2,4,3,1,3,1,6,14
TRINITY_DN10148_c0_g1,8,1,4,0,3,4,3,2,1,4,0,3,1,3,0,1,7,1,3,2,0,1,0
TRINITY_DN10149_c0_g1,82,95,236,60,40,74,144,106,55,152,48,23,106,24,24,39,78,93,93,30,68,65,57
TRINITY_DN10150_c0_g1,1,0,1,2,4,2,5,1,0,3,1,1,1,1,0,0,4,0,0,0,1,3,0
TRINITY_DN10151_c0_g1,5,11,16,2,2,11,5,0,0,14,11,6,6,13,0,10,6,2,2,1,16,21,2
TRINITY_DN10152_c0_g1,13,5,5,3,3,1,2,6,8,10,7,5,7,4,2,2,6,13,4,2,11,13,7
TRINITY_DN10153_c0_g1,9,14,10,14,4,8,6,10,5,37,27,11,21,10,3,10,15,19,21,4,36,26,14
TRINITY_DN10154_c0_g1,6,1,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0
TRINITY_DN10155_c0_g1,2,8,4,2,1,5,2,8,3,2,7,4,5,6,0,8,7,3,7,7,7,3,0
TRINITY_DN10156_c0_g1,24,27,24,16,27,13,18,23,34,33,12,8,52,21,5,19,14,24,27,9,27,17,12
TRINITY_DN10157_c0_g1,24,49,23,26,24,10,18,38,26,56,10,6,73,12,5,14,12,28,29,1,27,35,11
TRINITY_DN10158_c0_g1,2,2,2,1,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,1,4,4
TRINITY_DN10159_c0_g1,5,7,5,10,2,4,2,1,0,3,0,1,3,6,2,2,2,3,2,0,3,0,2
TRINITY_DN1015_c0_g1,12,1,8,5,2,8,1,8,0,3,2,4,4,4,3,5,5,4,3,0,1,4,14
TRINITY_DN10160_c0_g1,13,6,14,6,6,5,7,12,10,5,5,8,6,9,8,17,20,10,9,17,20,14,8
TRINITY_DN10161_c0_g1,2,4,0,3,3,1,2,3,1,4,2,2,4,5,1,0,0,1,0,0,0,0,3
TRINITY_DN10162_c0_g1,0,0,0,1,0,0,0,0,0,4,3,17,8,0,0,0,0,34,0,0,0,0,0
TRINITY_DN10163_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
TRINITY_DN10164_c0_g1,11,3,3,2,2,3,4,2,3,1,1,0,4,2,0,7,0,0,1,0,6,4,0
TRINITY_DN10166_c0_g1,3,5,5,1,4,1,3,11,7,7,1,2,17,1,0,3,1,8,0,4,0,3,5
TRINITY_DN10167_c0_g1,2,3,1,0,1,1,2,3,1,2,1,0,0,2,1,0,0,0,0,0,1,0,2
TRINITY_DN10168_c0_g1,7,3,6,2,1,3,2,3,8,2,4,3,4,2,3,0,7,4,6,1,4,4,7
TRINITY_DN10169_c0_g1,4,9,2,5,11,1,0,10,7,8,5,0,14,2,2,5,4,11,8,6,14,11,1
TRINITY_DN1016_c0_g1,0,0,0,0,1,0,0,0,0,6,0,3,6,0,0,0,0,17,0,0,0,0,0
TRINITY_DN10170_c0_g1,2,1,3,3,4,0,3,0,1,3,0,1,0,0,1,4,2,2,2,4,1,4,0
TRINITY_DN10171_c0_g1,7,7,6,7,5,6,3,4,2,11,5,4,24,5,5,8,6,12,28,7,15,15,14
TRINITY_DN10172_c0_g1,0,5,5,2,3,1,0,2,1,2,3,1,4,3,3,4,2,4,2,2,2,2,5
TRINITY_DN10173_c0_g1,2,12,3,8,4,4,4,16,4,29,5,0,13,2,0,4,1,5,15,1,16,17,2
TRINITY_DN10174_c0_g1,2,1,3,2,1,0,3,1,0,3,1,1,2,3,0,2,1,1,0,0,5,0,2
TRINITY_DN10175_c0_g1,9,11,15,4,6,7,5,4,5,21,6,9,5,6,0,12,7,10,10,6,6,8,16
TRINITY_DN10176_c0_g1,1,3,2,2,1,0,0,1,3,1,0,1,2,0,2,2,0,1,3,0,2,1,1
TRINITY_DN10177_c0_g1,0,0,6,5,3,3,5,1,2,1,0,0,0,0,0,0,0,0,0,6,0,0,7
TRINITY_DN10178_c0_g1,4,10,1,3,1,5,2,6,4,6,3,1,9,5,3,3,5,5,7,0,7,17,4
TRINITY_DN10179_c0_g1,2,2,2,1,1,3,3,0,0,2,1,1,4,1,0,3,2,0,3,0,1,0,1
TRINITY_DN10180_c0_g1,9,11,10,3,3,5,7,13,6,14,0,3,12,7,4,7,4,6,11,1,10,6,12
TRINITY_DN10181_c0_g1,1,1,16,9,6,6,11,1,1,2,0,1,2,0,1,1,0,10,0,1,10,21,26
TRINITY_DN10182_c0_g1,3,8,6,6,5,3,2,1,1,12,3,1,7,6,3,7,0,3,4,3,6,12,8
TRINITY_DN10183_c0_g1,0,2,2,0,1,0,2,1,1,7,0,1,0,0,1,1,0,0,1,0,0,2,2
TRINITY_DN10184_c0_g1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,16,9,3,0,3,0,0,0,17
TRINITY_DN10185_c0_g1,0,1,1,1,4,3,0,2,3,6,0,0,9,0,0,3,2,2,5,2,0,3,0
TRINITY_DN10186_c0_g1,0,2,2,3,3,0,0,2,1,1,1,0,1,2,0,2,1,0,0,2,0,0,1
TRINITY_DN10187_c0_g1,1,5,3,3,2,3,2,1,2,8,0,2,1,3,1,1,5,3,2,0,3,2,4
TRINITY_DN10188_c0_g1,0,3,1,3,1,1,1,3,4,4,0,0,4,1,1,1,2,1,1,0,1,3,2
TRINITY_DN10189_c0_g1,3,2,4,3,1,0,4,2,0,3,0,1,4,3,1,1,2,2,5,2,0,1,2
TRINITY_DN10190_c0_g1,2,2,4,1,4,1,0,0,3,9,2,1,9,5,5,7,4,2,1,2,3,2,3
TRINITY_DN10191_c0_g1,3,7,3,0,1,1,0,2,1,4,3,1,4,3,1,1,5,2,2,2,0,1,3
TRINITY_DN10192_c0_g1,6,0,0,0,0,0,0,2,1,0,0,2,1,1,0,1,0,0,1,3,0,1,2
TRINITY_DN10193_c0_g1,10,12,20,6,3,6,12,3,9,16,1,1,18,10,4,10,7,10,14,0,2,6,10
TRINITY_DN10194_c0_g1,1,2,0,2,1,0,2,0,0,1,1,1,3,3,0,2,0,1,0,1,0,2,1
TRINITY_DN10196_c0_g1,1,7,1,0,0,2,2,3,4,5,1,0,6,3,0,1,3,1,2,2,0,2,0
TRINITY_DN10197_c0_g1,2,11,1,5,9,1,0,11,3,17,4,0,19,1,0,6,0,8,6,0,19,37,0
TRINITY_DN10198_c0_g1,2,2,6,2,6,4,2,4,3,7,2,4,4,4,3,7,3,5,4,2,4,5,10
TRINITY_DN10199_c0_g1,18,8,4,1,3,4,2,2,6,11,3,2,2,5,3,8,0,2,1,4,4,1,3
TRINITY_DN1019_c0_g1,25,16,23,25,5,22,15,25,19,10,1,6,11,17,5,19,16,33,24,8,30,30,4
TRINITY_DN101_c0_g1,1043,2062,1355,534,683,678,394,1102,976,2357,813,616,1373,1362,654,1375,799,1358,1385,726,1584,1815,1801
TRINITY_DN10200_c0_g1,10,3,11,2,2,5,6,4,5,23,8,4,4,6,8,10,2,6,7,6,11,7,21
TRINITY_DN10201_c0_g1,7,7,0,5,9,8,0,5,5,0,6,8,0,9,2,6,4,2,3,7,2,4,3
TRINITY_DN10202_c0_g1,1,12,4,5,7,4,0,10,4,20,9,3,11,1,0,1,1,3,1,3,8,13,5
TRINITY_DN10203_c0_g1,0,0,8,0,1,0,3,3,0,13,5,5,2,1,0,4,2,12,5,1,4,4,0
TRINITY_DN10204_c0_g1,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,3,2
TRINITY_DN10205_c0_g1,7,8,18,11,10,6,11,5,5,27,4,3,5,17,1,5,6,3,8,4,23,12,11
TRINITY_DN10206_c0_g1,3,5,3,3,4,2,1,3,5,8,2,3,8,4,1,1,2,7,9,3,5,3,3
TRINITY_DN10207_c0_g1,3,4,3,0,2,0,4,2,4,2,0,2,2,4,1,1,3,3,2,1,2,2,0
TRINITY_DN10208_c0_g1,0,0,0,0,0,0,0,0,0,2,4,3,12,0,0,0,0,7,0,0,0,0,0
TRINITY_DN10209_c0_g1,4,3,5,0,1,2,2,4,4,2,1,0,4,5,1,2,2,2,4,4,1,3,10
TRINITY_DN10210_c0_g1,4,2,7,3,1,5,4,4,1,4,1,2,2,6,1,6,7,3,2,1,4,6,4
